"Alveolar_Type1"	"Alveolar_Type2"	"B_cells"	"Blood_vessel"	"Ciliated"	"DC_1"	"DC_2"	"DC_activated"	"DC_Monocyte_Dividing"	"DC_plasmacytoid"	"Fibroblast"	"Lymph_vessel"	"Macrophage_Dividing"	"Macrophage_MARCOneg"	"Macrophage_MARCOpos"	"Mast_cells"	"Monocyte"	"Muscle_cells"	"NK"	"NK_Dividing"	"Plasma_cells"	"T_CD4"	"T_CD8_CytT"	"T_cells_Dividing"	"T_regulatory"
"C10orf10"	10.9947643979058	8.19076133447391	2.12765957446809	59.2056421677802	7.29613733905579	3.68098159509202	6.41744548286604	20.4918032786885	8.26446280991736	6.52173913043478	48.5510380622837	41.2462908011869	10.6382978723404	5.01600853788687	8.88741134751773	2.57643421504638	4.20306576561727	39.4517282479142	1.87176041466692	0.769230769230769	12.5435540069686	2.03855221189849	1.78974804517811	1.13636363636364	3.53430353430353
"C14orf180"	0	0	0	0	0	0	0	0	0	0	0.064878892733564	0	0	0	0	0	0	1.07270560190703	0	0	0	0	0.0173761946133797	0	0
"C16orf45"	4.45026178010471	0.406330196749358	0.193423597678917	17.8173719376392	5.79399141630901	5.52147239263804	2.55451713395639	4.91803278688525	3.71900826446281	0	31.25	17.2106824925816	2.12765957446809	0.32017075773746	0.842198581560284	2.88560632085194	0.346134827756717	25.3873659117998	1.36302553273181	2.30769230769231	0	0.568575786992095	0.53866203301477	1.13636363636364	1.87110187110187
"C20orf202"	0	0	0	0.0371195248700817	0	0	0	0	0	0	0.151384083044983	0	0	0	0.509751773049645	0	0	0.238379022646007	0.0287963140717988	0	0	0.0277354042435169	0	0	0
"C2orf40"	1.30890052356021	0.278015397775877	0.0644745325596389	4.23162583518931	60.7296137339056	0	0.311526479750779	0	2.47933884297521	0	9.21280276816609	1.78041543026706	1.06382978723404	0.106723585912487	0.731382978723404	0.171762281003092	0.247239162683369	39.5709177592372	0.211172969859858	0.769230769230769	0.696864111498258	0.485369574261545	0.295395308427454	0	0.207900207900208
"C7orf61"	0.654450261780105	0.171086398631309	0.386847195357834	1.15070527097253	0	0.613496932515337	1.18380062305296	0	1.2396694214876	0	0.627162629757785	0.593471810089021	0	0.747065101387407	0.37677304964539	0.103057368601855	0.56040876874897	0.834326579261025	0.41274716836245	0.769230769230769	0.696864111498258	0.540840382748579	0.608166811468288	3.40909090909091	0.415800415800416
"C9orf172"	0.916230366492147	0.83404619332763	0.0644745325596389	0.185597624350408	1.931330472103	0	0.311526479750779	0.819672131147541	0.826446280991736	0	1.01643598615917	1.18694362017804	0	0.426894343649947	0.576241134751773	0.137409824802473	0.230756551837811	1.66865315852205	0.940679593012094	0.769230769230769	1.04529616724739	0.291221744556927	0.50390964378801	0	0.831600831600832
"CA3"	2.09424083769634	1.47562018819504	0	0.371195248700817	0.214592274678112	0	0.0623052959501558	0	1.65289256198347	2.17391304347826	12.8460207612457	0	2.12765957446809	0.64034151547492	0.554078014184397	0.171762281003092	0.329652216911159	2.02622169249106	0.191975427145325	0.769230769230769	0.348432055749129	0.0832062127305506	0.0868809730668983	0	0
"CAB39L"	5.23560209424084	3.42172797262618	0.902643455834945	1.52190051967335	8.15450643776824	3.06748466257669	2.74143302180685	2.45901639344262	5.37190082644628	2.17391304347826	26.9031141868512	4.45103857566766	5.31914893617021	1.28068303094984	3.05851063829787	0.446581930608038	1.28564364595352	20.7389749702026	1.44941447494721	3.07692307692308	1.74216027874564	0.610178893357371	0.886185925282363	1.13636363636364	0.415800415800416
"CACNA1H"	0.130890052356021	0.0427715996578272	0	0.44543429844098	2.57510729613734	0	0	0	0	0	0.129757785467128	0	0	0	0.0664893617021277	0.0343524562006183	0	9.53516090584029	0.0479938567863313	0	0.348432055749129	0.124809319095826	0.052128583840139	0	0
"CACNA2D3-AS1"	0	0	0	0	0	0	0	0	0	0	0.0432525951557093	0	0	0	0	0	0.0164826108455579	0	0	0	0	0	0	0	0
"CALCOCO2"	25.130890052356	34.6663815226689	10.7027724049001	28.5820341499629	16.7381974248927	25.1533742331288	24.2990654205607	8.19672131147541	36.3636363636364	15.2173913043478	49.2647058823529	43.9169139465875	75.531914893617	17.5026680896478	36.3253546099291	7.42013053933356	15.4606889731333	41.5971394517282	12.9487425609522	26.9230769230769	25.0871080139373	12.5641381223131	11.5377932232841	35.2272727272727	8.93970893970894
"CALD1"	15.1832460732984	9.40975192472198	1.67633784655061	52.0044543429844	4.07725321888412	6.74846625766871	3.36448598130841	2.45901639344262	7.02479338842975	6.52173913043478	86.5916955017301	81.6023738872403	4.25531914893617	2.56136606189968	6.36081560283688	1.51150807282721	2.14273940992253	93.0870083432658	1.84296410059512	2.30769230769231	6.96864111498258	1.10941616974067	1.07732406602954	4.54545454545455	3.11850311850312
"CBLB"	6.282722513089	4.98289136013687	2.51450676982592	8.68596881959911	9.2274678111588	4.29447852760736	4.42367601246106	18.0327868852459	2.89256198347107	10.8695652173913	16.8468858131488	5.93471810089021	6.38297872340426	3.84204909284952	6.07269503546099	2.02679491583648	1.92846546893028	8.10488676996424	11.2401612593588	16.9230769230769	2.78745644599303	9.63805297462211	11.1381407471764	20.4545454545455	10.6029106029106
"CBX7"	7.19895287958115	6.11633875106929	4.83558994197292	6.64439495174462	12.0171673819742	2.45398773006135	2.55451713395639	19.672131147541	3.71900826446281	0	9.60207612456747	8.6053412462908	11.7021276595745	2.88153681963714	3.70124113475177	3.02301614565441	1.28564364595352	12.9916567342074	4.0122864273373	4.61538461538462	8.71080139372822	3.09249757315213	4.39617723718506	7.95454545454545	3.53430353430353
"CCR10"	0.392670157068063	0.278015397775877	0.0644745325596389	0.519673348181143	1.07296137339056	1.22699386503067	0.685358255451713	0.819672131147541	0.826446280991736	0	4.34688581314879	2.37388724035608	2.12765957446809	0.106723585912487	1.17464539007092	0.343524562006183	0.0824130542277897	2.97973778307509	0.182376655788059	0.769230769230769	29.616724738676	0.582443489113854	0.173761946133797	3.40909090909091	0.831600831600832
"CD72"	1.04712041884817	0.705731394354149	18.6976144422953	0.519673348181143	1.71673819742489	14.1104294478528	16.5109034267913	6.55737704918033	13.2231404958678	6.52173913043478	0.865051903114187	1.48367952522255	8.51063829787234	6.93703308431163	6.60460992907801	0.583991755410512	6.52711389484094	0.834326579261025	4.77058936456134	6.92307692307692	3.13588850174216	0.499237276383303	1.07732406602954	3.40909090909091	0.831600831600832
"CDC42EP5"	6.02094240837696	0.641573994867408	0.128949065119278	10.5790645879733	1.71673819742489	0.613496932515337	0.249221183800623	0.819672131147541	2.06611570247934	0	17.560553633218	35.0148367952522	0	0.106723585912487	0.354609929078014	0	0.0494478325366738	2.86054827175209	0.297561912075254	0	0.348432055749129	0.110941616974067	0.052128583840139	0	0
"CDKN1B"	17.4083769633508	18.2207014542344	17.7949709864603	16.8893838158872	16.7381974248927	23.3128834355828	15.8878504672897	19.672131147541	24.3801652892562	19.5652173913043	21.6695501730104	29.673590504451	22.3404255319149	10.8858057630736	12.2340425531915	8.07282720714531	12.3125103016318	25.1489868891538	16.3083125359954	24.6153846153846	28.9198606271777	24.4764942449036	18.6446568201564	36.3636363636364	19.7505197505198
"CDKN2A"	4.31937172774869	0.149700598802395	0.580270793036751	2.44988864142539	6.43776824034335	0	0.934579439252336	1.63934426229508	7.85123966942149	0	2.7681660899654	1.48367952522255	32.9787234042553	0.533617929562433	3.45744680851064	1.06492614221917	0.791165320586781	0.595947556615018	1.01746976387022	11.5384615384615	13.2404181184669	1.94147829704618	2.60642919200695	20.4545454545455	4.78170478170478
