"gene"	"Alveolar_Type1"	"Alveolar_Type2"	"B_cells"	"Blood_vessel"	"Ciliated"	"DC_1"	"DC_2"	"DC_activated"	"DC_Monocyte_Dividing"	"DC_plasmacytoid"	"Fibroblast"	"Lymph_vessel"	"Macrophage_Dividing"	"Macrophage_MARCOneg"	"Macrophage_MARCOpos"	"Mast_cells"	"Monocyte"	"Muscle_cells"	"NK"	"NK_Dividing"	"Plasma_cells"	"T_CD4"	"T_CD8_CytT"	"T_cells_Dividing"	"T_regulatory"
"MRPL45"	"0.499113381496475"	"0.993931009321147"	"-1.00400695824476"	"0.21147196389796"	"0.0484820924197551"	"0.321718886302571"	"0.0222735813356288"	"0.420233458404576"	"0.675504494263057"	"-0.40524810829056"	"1.25801788220461"	"1.48814242528375"	"2.87815353774908"	"-0.723142906183866"	"0.492668075079181"	"-1.25405321745987"	"-1.14499640677502"	"0.402445164988639"	"-0.968712093948193"	"-0.0622293998643913"	"-0.533562862196211"	"-1.05376335257626"	"-1.15523884675119"	"-0.34831190796446"	"-1.05888989249166"
"MRPL46"	"0.587298178573984"	"0.817016589882522"	"-1.01445984112209"	"0.172910060991569"	"0.508895882055036"	"-0.836989324620796"	"-0.494139666153237"	"-0.3016080045192"	"1.10816213636072"	"-0.343404843249925"	"0.907627890789022"	"1.07556544703205"	"3.09826345422019"	"-0.572576221078838"	"0.669330665327734"	"-1.08262450838651"	"-1.17370930573173"	"0.589188850701856"	"-0.762329865610986"	"-0.474153928510139"	"-0.15980943781485"	"-0.94345568842717"	"-0.901419068463574"	"0.596601837901163"	"-1.07018129014679"
"MRPL47"	"0.0888733822062088"	"0.795872345101193"	"-1.11004561943586"	"-0.187330775974006"	"-0.0653995512325062"	"0.295904045512832"	"0.0707499981262393"	"-0.382941946253671"	"1.72433456214403"	"-0.173770118922972"	"0.782493878669129"	"0.622526741030518"	"2.61245483751451"	"-0.643067903830272"	"0.96245003692338"	"-1.39192929625864"	"-1.09483747367766"	"0.346502320300554"	"-0.965889083373187"	"0.322144950246492"	"0.0770672941122213"	"-1.17333997552697"	"-1.19420190395321"	"0.964815189032866"	"-1.28343593248122"
"MRPL57"	"0.506361228742069"	"1.39349968614034"	"-1.48307950799976"	"-0.277122416308598"	"0.959790350901118"	"-0.350029037690132"	"0.0265726976760919"	"0.0140322259357565"	"1.26342073927154"	"-0.674918679822954"	"0.693522728803971"	"0.586944784507923"	"2.25145692761636"	"-0.266156961918525"	"0.957431396986208"	"-1.34780520474488"	"-1.06627572126378"	"-0.102292159035369"	"-1.20919694030724"	"0.662272396354179"	"0.437743216149888"	"-1.17075841923655"	"-1.19714109630359"	"0.562417218587705"	"-1.17068945304178"
"MRPS10"	"0.0954043441803717"	"0.893902583892148"	"-1.05029702537597"	"0.0963604815339125"	"0.0527560703764062"	"-0.367004764846648"	"-0.361449331051592"	"0.412880053000377"	"1.3264885667043"	"-0.82571061724283"	"1.65832379816713"	"0.925347002478167"	"2.41858239173851"	"-0.564121448785444"	"0.906040380794505"	"-1.35107349311047"	"-1.19837088487085"	"0.334212108196855"	"-0.801787582130339"	"0.345716514957619"	"0.0173874422259454"	"-1.16972994716814"	"-1.02734261860676"	"0.55245913148292"	"-1.31897315654011"
"MRPS11"	"0.290365801696054"	"0.488249580856316"	"-1.10228696550544"	"-0.1390200537729"	"-0.468927294699395"	"-0.203679601335615"	"-0.186776169160032"	"-0.280071159302867"	"1.88491363916708"	"-0.286953154852976"	"0.843836305156078"	"0.764834954379315"	"2.97320920521417"	"-0.646420519006556"	"0.580748733559873"	"-1.16381143157355"	"-0.981917491050913"	"-0.0195943265350508"	"-0.845076960605311"	"0.533274837865288"	"0.472200493651801"	"-1.09735115726835"	"-1.01283447559436"	"0.72120705690793"	"-1.11811984819059"
"MRPS12"	"0.231437854126663"	"1.22313970586727"	"-1.24351474442769"	"-0.321013387261508"	"-0.49226804110657"	"-0.530256264106595"	"-0.0981913296806645"	"0.0870160440934922"	"1.56273726701635"	"0.00389423608042754"	"0.671471649536219"	"1.20540781447699"	"2.01973703782705"	"-0.478333910611375"	"0.997688298256486"	"-1.33685722302031"	"-1.12810269674585"	"-0.251138133630217"	"-0.784307858178378"	"0.683666208864194"	"0.488979702236113"	"-1.22788773312142"	"-1.18348134437018"	"1.22540698747242"	"-1.32523013959293"
"MRPS16"	"0.473026462230765"	"1.08369056079654"	"-1.1941611301993"	"-0.263272725346938"	"0.0046635566697759"	"-0.167739217154986"	"-0.125852753396146"	"-0.0307294342122953"	"1.44433215924728"	"0.122379563006573"	"0.654742818956729"	"0.732089575670436"	"2.80127156524837"	"-0.387861036130714"	"1.01864501516505"	"-1.24984040872831"	"-0.940949042615859"	"-0.0190939727830556"	"-1.17515008658035"	"0.155118351506343"	"0.504648963375545"	"-1.2412800904295"	"-1.25891350598748"	"0.331957413630099"	"-1.27172260193858"
"MRPS17"	"0.518936812467448"	"0.997620718498518"	"-1.00166800751416"	"0.137620264570091"	"0.374223193159316"	"-0.878048258234262"	"-0.29479625048668"	"-0.33675483603457"	"1.12458220086568"	"-1.09876021086499"	"1.12612653638949"	"1.32067887009479"	"2.47784560559351"	"-0.713791588544741"	"0.900379545919697"	"-1.1504915771986"	"-1.03332259433268"	"0.10149125480603"	"-0.839368537000212"	"0.610653111028039"	"0.981196945028033"	"-0.972356196567477"	"-1.0176043666587"	"-0.252179831013696"	"-1.08221280396988"
"MRPS18B"	"0.441228152975281"	"1.25908526317158"	"-0.911401421559265"	"0.153159746821505"	"0.575319187215844"	"-0.555944815354991"	"-0.429259120141603"	"0.0154260460615857"	"0.947809069657554"	"-0.541133576324352"	"1.32292603922701"	"1.09402501514495"	"2.60828338473446"	"-0.785262155191953"	"0.862285895598367"	"-1.27614322122895"	"-1.29978418379786"	"0.187596154754324"	"-0.883466477635142"	"0.120458836337496"	"0.307422692547272"	"-1.15628396478212"	"-1.06561550690353"	"0.223601832091397"	"-1.21433287341886"
