"Partner"	"Pair"	"theta"	"theta_e"	"theta_f"	"theta_g"	"lrv"	"lrv1"	"lrv2"	"lrv3"	"lrv4"	"lrv5"	"lrv6"	"lrm"	"lrm1"	"lrm2"	"lrm3"	"lrm4"	"lrm5"	"lrm6"	"p"	"p1"	"p2"	"p3"	"p4"	"p5"	"p6"	"Zeros"	"theta_mod"	"Fstat"	"Pval"	"FDR"
"Nonclassical Monocyte"	"Myeloid Dendritic Type 2"	0.995347676494497	0.0637734740019682	0.936226525998032	0	2576.56643184738	208.170809284856	7610.32792430253	67.6557397450233	2556.11492854293	171.195435245194	0	NA	2.03640820713033	-4.75930007006998	1.76112508049765	10.3628593843114	2.62112011934369	0.000472598787647736	1933168629078982	704098835934352	612757526559985	151217879575422	31568463250566.9	332850856583539	84838186995925.8	1135	0.995335812205265	2.70610234893044	0.0198391838391446	0.0239029342690834
"Artery"	"Myeloid Dendritic Type 2"	0.995349189744456	0.00569820909961105	0.994301790900389	1.80551334710686e-05	11434.3958047204	12.2857132356395	171716.515759503	13.6189171183319	13.9073532715471	13.4694852795658	25.4638239106948	NA	2.03100091291302	-27.2182421481126	1.89957213432627	2.61709741404864	1.83661904243469	3.40469266155003	1571614654460.96	838807815292.857	104055596929.741	153402352025.749	76558528323.1858	374070078137.34	12741963948.7178	928	0.995337327772365	2.70521891705019	0.0198738411820599	0.0239029342690834
"Nonclassical Monocyte"	"Alveolar Epithelial Type 2"	0.995355235843897	0.595070255246292	0.404929744753708	0.00124311166314872	185.049398542675	277.085926311922	103.258471767675	91.8211083384134	3252.33760488813	223.077279429576	3.85564943383444	NA	-0.281075601290903	-0.0384949561709147	-1.61103847618681	8.1301561167679	0.037233454325224	-1.57675357963237	206982414465.259	55973999368.4277	103894675999.665	8416105416.38078	1824264553.58345	23009697801.299	12349055086.2556	690	0.995343416131205	2.70167000838877	0.0200136566409885	0.0240163879691862
"Mucous"	"Macrophage"	0.995426061926591	0.347573076259702	0.652426923740298	0.0131192071698266	419.185684895489	2067.73581555354	112.598906954615	72.9253429135593	188.676828512206	469.955472118078	98.1516601979115	NA	-3.21760547789304	0.565316353624182	1.05874734670151	-1.13743194046637	1.0954811710685	0.0814185382175034	1192811160199858	157766561946903	581896496381003	119061970001624	103253477696887	151627069582962	66832556970013.2	1094	0.995414406570223	2.66029283566573	0.021715536321546	0.0259995536911027
"TREM2+ Dendritic"	"Alveolar Epithelial Type 1"	0.995445198783337	0.58969511289204	0.41030488710796	0.0383332862058646	6.20813324583167	7.04135519738549	5.98373729583602	6.34314193399664	4.44912830282209	6.14813285399597	6.42860245250556	NA	-0.237532660697187	-0.470912046585563	-0.549535646644106	-0.853133143747648	-0.492294832771337	0.0651264341100068	135137248.297343	33773083.660132	57526807.4173606	6350733.3252348	7228317.53919795	22954835.9213783	6147917.28092161	247	0.995434379542228	2.64865254149907	0.0222189592567538	0.0265421051754888
"Basal"	"Myeloid Dendritic Type 2"	0.995474700405698	0.467966634762188	0.532033365237812	0	4496.96887614651	6910.77521967092	7484.54000458191	0	0	0	0	NA	5.87854189650473	-5.54415608603508	3.8336396640934e-05	3.77606897379484e-05	4.33392886270156e-05	3.68901370497256e-05	2012909033360507	607032621016551	643454415681909	157556632992434	129277237327125	371672057315485	84838186995925.8	1153	0.995463157756915	2.63188135296329	0.0229641258123508	0.0273703350539982
"Myofibroblast"	"Macrophage"	0.995543734494362	0.584023045544808	0.415976954455192	0.00531823465554549	463.750770397929	1765.558962605	975.274833678294	427.587362180159	217.275357926072	350.845154599087	2133.49305378765	NA	-2.26260592746423	7.42913010573359	2.84096979604764	0.134436227831675	-0.152403770924737	12.5825012798361	134356052523501	12901272176026.2	2541832638935.99	5126349577046.71	38344039031002	73874689323282.4	155316695530.178	1097	0.995532376531986	2.59154643760549	0.024856211746765	0.0295587382934502
"Platelet/Megakaryocyte"	"Pericyte"	0.995591846559532	0.647030767171531	0.352969232828469	0.0266336928887303	0.323673778992165	0.350175162512601	0.292328886229417	0.154832057037663	0.367438566414759	0.390135068192887	0.385541273910685	NA	-0.7408610859429	-0.662509627629142	-0.74298842441938	-0.724601303167514	-0.701615498364065	-0.806121836053862	3187581.26740542	1039968.76686197	1217140.96396221	177475.859548029	128557.019997599	444804.25347346	152933.639902813	3	0.995595392555482	2.55483084451566	0.0267083428436853	0.0316188453396095
"Differentiating Basal"	"Proliferating Macrophage"	0.995602256101782	0.390984570774039	0.609015429225961	7.22254055787612e-05	532.647231529892	1118.06132899786	580.193314281443	2.52360193613304	1.95754966643436	3.23998531755712	2.57582218779975	NA	1.60019557929561	0.475458895164192	-3.11671189605201	-3.40526231634256	-2.58498584186134	-2.15133752433648	1943238688110.11	356642728541.195	1086479153568.37	62153764946.5814	38189416429.204	254925305644.868	129988851646.857	706	0.995591045299181	2.55736357633313	0.0265764269774733	0.0315333785260806
"Bronchial Vessel 1"	"Plasmacytoid Dendritic"	0.995620780001419	0.199782906974249	0.800217093025751	0	5041.31273419392	0	26933.401798402	371.768224766737	0	36655.2102578811	20003.8999668577	NA	0.000726899966848331	14.9636863102461	3.04932675862061	0.000300182005853245	-8.95820619982305	30.1586814162376	1278994493118668	803942819628059	39688666782036.9	148181492027343	129277237327125	140761673951588	6792980719734.32	1147	0.995609608198738	2.54654889880404	0.0271441130566229	0.0320628449527894
"Nonclassical Monocyte"	"Basophil/Mast 1"	0.995626389477807	0.571713199565248	0.428286800434752	0	197.102926959755	245.615771877674	58.3899545936908	155.370805701085	2735.63810475164	237.978607102276	0	NA	-0.0241286894259735	0.134322745555685	-0.212073607976749	6.9128452555521	-0.811684880722083	0.000214835022916374	2019088645143887	693947952779318	721611557762706	148862404667524	30555959366413	323261732399252	84838186995925.8	1100	0.995615255158575	2.54325908061314	0.0273191030499743	0.0321975143088982
"Vein"	"Myeloid Dendritic Type 2"	0.995630123296691	0.00805756431144045	0.99194243568856	5.94007039685345e-05	13473.988631425	67.4999938086686	235093.520614463	33.6574211347483	47.2359956897818	100.054106133679	98.436096118804	NA	2.14260232975478	-31.0992791108277	1.56285263483426	1.75266276905358	2.29518584732602	5.53563359811111	24248089767644.3	8581032743781.59	1378540462554.52	8862572941124.18	3517199755257.84	1417022945981.62	197156417462.692	1084	0.995618974633542	2.54109220115082	0.0274349541588532	0.0322620396344643
"Capillary"	"Capillary Aerocyte"	0.995705152381819	0.584822629545607	0.415177370454393	0.040363009263184	1.41475560536316	1.77621898102785	1.18324132503922	1.25139383224856	0.890518470830825	1.18851392021187	2.66476986622853	NA	0.489937015798742	0.424848503317702	0.417505900996791	0.44111756685742	0.603603359156465	0.785300900414474	2223930.11659501	735427.264918377	716812.01864518	157390.302761203	142607.762251356	372141.075948535	79600.2037650817	32	0.995697499740076	2.495349082203	0.0299936407541991	0.0351145062488184
"Proliferating Macrophage"	"Mucous"	0.995708179565327	0.559253428627672	0.440746571372328	0.00750718007665569	77.1218254665436	146.447520558422	52.7781804636905	65.799984786515	30.9764297694064	178.280781385116	40.7967771591902	NA	-0.686722938570273	0.140375382356854	1.74294914752451	2.54769013620164	-0.212364595765056	0.767523869770773	1765219228869.48	311348557505.59	1136869143455.63	46994469183.9597	32992970810.0256	121031090869.215	104488343817.023	671	0.995697289481303	2.49547155431406	0.0299864937525175	0.0351145062488184
