genes	cluster
NUDT19	2
NUDT8	2
NUF2	2
NUFIP1	2
NUP35	2
NUP37	2
NUP93	2
NUSAP1	2
OCIAD2	2
ODC1	2
OIP5	2
ORC1	2
ORC6	2
ORM1	2
ORM2	2
ORMDL2	2
OXSM	2
PAFAH1B3	2
PAFAH2	2
PAK1IP1	2
PAK6	2
PANK1	2
PARP1	2
PARS2	2
PAXIP1	2
PBDC1	2
PBK	2
PCBD2	2
PCCB	2
PCDH9	2
PCDHAC2	2
PCK2	2
PCLAF	2
PCLO	2
PCNA	2
PCP4L1	2
PDCD2L	2
PDE6B	2
PDF	2
PDHB	2
PDHX	2
PDIK1L	2
PDSS2	2
PDZK1IP1	2
PEBP4	2
PECR	2
PEG10	2
PES1	2
PEX3	2
PEX7	2
PFAS	2
PGAM5	2
PHB	2
PHGDH	2
PICSAR	2
PIGM	2
PIGO	2
PIGU	2
PIGW	2
PIP5K1B	2
PITPNM3	2
PKMYT1	2
PKP3	2
PLA2G3	2
PLCXD1	2
PLEK2	2
PLGRKT	2
PLK1	2
PLK4	2
PLRG1	2
PLS1	2
PNKD	2
PNPLA4	2
POC1A	2
POLDIP2	2
POLE2	2
POLQ	2
POLR1B	2
POLR1C	2
POLR2C	2
POLR2D	2
POLR2G	2
POLR3B	2
POLR3K	2
PON3	2
POP1	2
PPA2	2
PPCS	2
PPP1CA	2
PPP1R14C	2
PPP1R8	2
PPT1	2
PQLC2	2
PRDX3	2
PREP	2
PRIM1	2
PRKAG1	2
PRMT6	2
PRPF19	2
PRPSAP2	2
PRR11	2
PRR19	2
PRR22	2
PRRG2	2
PRSS16	2
PRTG	2
PSAT1	2
PSKH1	2
PSMA4	2
PSMD14	2
PSMD5	2
PSME3	2
PSMG1	2
PTAFR	2
PTCD1	2
PTER	2
PTK6	2
PTPMT1	2
PTRHD1	2
PTTG1	2
PVALB	2
PXMP4	2
PYM1	2
QDPR	2
RAB17	2
RAB25	2
RAB27B	2
RAB32	2
RAB38	2
RAB42	2
RAD51	2
RAD51AP1	2
RALY.AS1	2
RANBP17	2
RARS	2
RASEF	2
RASGRF1	2
RBM47	2
REN	2
RENBP	2
RFC3	2
RFXANK	2
RHNO1	2
RILP	2
RIMS4	2
RIOK2	2
RIOX1	2
RITA1	2
RMDN2	2
RMI2	2
RMND1	2
RN7SKP51	2
RNASEH2A	2
RNFT1	2
RORB	2
ROS1	2
RP1.92O14.3	2
RP11.10C24.1	2
RP11.10C24.2	2
RP11.10C24.3	2
RP11.11N9.4	2
RP11.132A1.4	2
RP11.142E9.1	2
RP11.14I2.2	2
RP11.16K12.1	2
RP11.173A6.3	2
RP11.206P5.2	2
RP11.22C11.2	2
RP11.25K19.1	2
RP11.27I1.4	2
RP11.635O16.2	2
RP11.680F8.1	2
RP11.685B14.1	2
RP11.793H13.3	2
RP11.85G21.3	2
RP11.867G23.8	2
RP3.325F22.5	2
RP4.568C11.4	2
RP4.569M23.2	2
RP5.1120P11.1	2
S100A14	2
SACM1L	2
SAMM50	2
SLC46A1	2
SLCO4C1	2
TBC1D2	2
TDRKH	2
TK1	2
TM4SF4	2
TMEM102	2
TMEM213	2
TRIB3	2
VPS18	2
VRK1	2
VSIG1	2
XAGE2	2
